product_code,description,sheet_name,reference_stock,last_cost,last_supplier,last_purchase_date,last_sale_date,last_client,last_comment,source_file,area,active
10460F-30,"TUBO ACOPLAMIENTO COMPLETO STL 2-1/2""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10460G-30,"TUBO ACOPLAMIENTO COMPLETO 1/8""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10463-30,"T PARA TUBO 1-1/2""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10463M-30,"T PARA TUBO 2-1/2""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10463P-30,"T TUBO 2""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10463R-30,"TUBO EN T, 1.250,SS",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10463SS-30,"T TUBO 3""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10464R-30,TUBO NIPPLE 2 X CERRAR,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10472A-30,TUBO NIPPLE 1 X CERRAR TBE,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10472H-30,TUBO NIPPLE 1 X12 TBE,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10472J-30,TUBO NIPPLE 1.50 X CERRAR,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10473B-30,"CODO PARA TUBO - 3"" 45*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10473C-30,"CODO PARA TUBO - 2"" 45*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10473D-30,"CODO PARA TUBO - 2 1/2"" 45*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10749-30,"BRIDA, ÁNGULO LAMINADO, 8.125DI, 16",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10749B-30,"BRIDA ANGULAR ENROLLADA 8"" LISA",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1099058-30,CONJUNTO DE FILTRO,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1103976-30,"VÁLVULA SOLENOIDE, IGUAL QUE",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11040B-30,ABRAZADERA DE MANGUERA,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11041C-30,"TAPÓN DE TUBO 3""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11046-30,"CODO TUBO 3/8"" 90*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11046G-30,"CODO DE TUBO MOD, 2.5"" 90* GA",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11046H-30,"CODO TUBO 2"" 90*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11046J-30,"CODO TUBO 3"" 90*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11046L-30,"CODO TUBO 1/8"" 90*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11046N-30,"CODO TUBO 2 1/2"" 90*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11046X-30,CODO TUBO 2 X 2 1/2 90*,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120008-30,"PLACA,STL,BRAZO PLÁTANO,1X5.930X1",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120010-30,"PLACA, RCT, STL, 10GAX10X10, ANCHO/ALTO",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120031B-30,"PLACA DOBLADORA, RAD 90""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120083-30,"TUBO, RND, STL, 2.500X.625WX1.375",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120094-30,"PASADOR 1 1/4"" X 6 3/4""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120095-30,"PIN,AWL,1.250DIAX3.500",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120102-30,"ESFUERZO,STL,.250X2X5,SIN",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120237-30,"CLAVIJA, 1,25 X 13,5 1018CR",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120239-30,"PIN 1,25 X 17,75 1018CR",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120244-30,"BARRA,STL,RND,2.500X7.250",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120247B-30,"PASADOR, RND 1-15/16 X 12-1/8",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120248-30,"PASADOR,BISAGRA DEL TANQUE",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120311-30,"SOPORTE, SOPORTE DE CILINDRO,ABR,1.281",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120453-30,RB 1.5 X 3.63 X 1018CR,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120577-30,PLACA DE SUJECIÓN DEL SUBMARCO,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1120608-30,TOLVA MAC,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1121035-30,"TUBO,STL,1 SCH40X38.250,90*X90",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11210504-30,"PLACA,MANGUITO DEL PASADOR DE BLOQUEO DEL PORTON TRASERO",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11210555-30,D\C C3 @4.1# X 7.75,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1121088-30,"PLACA, STL, PLUMA",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11211756-30,"MOLINO,PL.75 X 12.25DI X",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11211757-30,"BRIDA,RND,STL,15.750X12.250,W",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11212090-30,"SOPORTE,MONTAJE DE ESCALERA,STL,C/AL",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11212233-30,"LLAVE, 1/2 X 1/2 X 5""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11212338-30,"CUÑA,SOPORTE DE CERRADURA DE PORTON TRASERO",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11212339-30,"CUÑA,PERNO EN MANGUITO DEL PASADOR DE BLOQUEO",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11212351-30,PUNTAL DE AGARRE 4.75 X 2 X 14GA X 1,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11212470-30,"FORMA, 3/16 X 34-13/16 X",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11212471-30,"FORMA, 3/16 X 33-15/16 X",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11212637-30,"SOPORTE PARA COLGADOR DE TUBO DE DESCARGA,UN-PAI",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11213542-30,"BRIDA OJO DE PORTA 8"" A 6""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1121372-30,"MTG. CORREA, CAÑÓN DE AIRE, STL, UNPA",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1121372A-30,"MTG. CORREA,CANON DE AIRE,PINTADO",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11213778-30,"SOPORTE, OREJA DE BISAGRA, AEROPUERTO, 1.063",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11213807-30,"TUBO, DESVIADOR, 8 SCH 40 X 48",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11214269-30,"PLACA, RETENEDOR DE BOLSA, STL, BOLSA DE 20",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11214449-30,PUNTAL DE AGARRE 11.75 X 14GA X 15.7,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11214551-30,"SOPORTE,CERRADURA DE PUERTA TRASERA,STL,C/AL",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11214724-30,"BRIDA, EXP. EMPAQUE",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11214742-30,CAÑÓN DE AIRE D & B MNT,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11214803-30,PLACA DEFLECTOR ACE,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11215398-30,D RB 2.438 X 23.25 4150TGP,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11215677-30,"PLACA EXTREMA, SOPORTE DE PESTILLO",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11215678-30,"SOPORTE DE CERRADURA, CERRADURA MANUAL",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11215679-30,"SOPORTE DE PESTILLO, BLOQUEO MANUAL",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11215852-30,"TUBO, 8 SCH 80 X 18",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11216216-30,"PLACA DE MONTAJE DEL DEFLECTOR, ACERO AL CARBONO",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11216383-30,"TUBO,RND,STL,8X.250WX12,90*X30",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11216441-30,BARRA D/B .5 X 2 X 17.22,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11216810-30,"ESPACIADOR TC, 1/4""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11217171-30,"CLAVE, 5/8 X 5/8 X 5,5",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11217191-30,"PL,F,PASERA,.188X2.628X5.308,",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11217791-30,"SOPORTE,PESTILLO DE PUERTA,STL,BH/CYCL",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11217931-30,"ESQUELETO, PARA TANQUE INCLINADO BOOL F",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11217932-30,ESQUELETO PARA BRAZO DE TANQUE INCLINADO FL,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11217933-30,DOBLE PL BRAZO DE TANQUE INCLINADO FL,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11219019-30,"TUBO,5SCH 40X.750, NEGRO",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11219247-30,"BARRA, ACERO, RND, 1.5DIAX12",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11219426-30,"PLACA, RCT, STL, .375X3X7.500, ANCHO/ALTO",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11219455-30,"PLACA,CUBIERTA DE PUERTO DE INSPECCIÓN",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11219463-30,"PLACA,POL,STL,.500X4.500X5.625",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11219624-30,"CONDUCTO,STL,1 EMTX53",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11219625-30,"CONDUCTO,STL,1 EMTX22.500",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
11219687-30,"BARRA, ACERO, RND, .750ODX30.250LG",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
